epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,988.49,1.54007,0.70845,1.0147,0.84987,0.76426,0.80914,0.37125,1.82694,0.80311,1.14494,0.0011684,0.0011684,0.0011684
44,1010.72,1.50498,0.69611,1.01166,0.88432,0.81386,0.86716,0.41342,1.78373,0.77288,1.12923,0.0011486,0.0011486,0.0011486
45,1035.18,1.52915,0.72249,1.01049,0.90689,0.8251,0.87534,0.41805,1.72401,0.77324,1.11277,0.0011288,0.0011288,0.0011288
46,1057.72,1.54558,0.72156,1.01138,0.88534,0.79087,0.84919,0.41265,1.74416,0.79487,1.12409,0.001109,0.001109,0.001109
47,1079.67,1.53724,0.71341,1.00717,0.85822,0.85171,0.87395,0.4182,1.7293,0.78238,1.116,0.0010892,0.0010892,0.0010892
48,1102.12,1.49171,0.69684,0.99546,0.89322,0.85932,0.874,0.41513,1.69059,0.7555,1.10158,0.0010694,0.0010694,0.0010694
49,1124.11,1.45609,0.67417,0.98518,0.86343,0.81734,0.80463,0.37703,1.79306,0.77718,1.12459,0.0010496,0.0010496,0.0010496
50,1145.73,1.44904,0.67402,0.98884,0.88622,0.85887,0.8806,0.43671,1.6715,0.72629,1.09806,0.0010298,0.0010298,0.0010298
51,1167.96,1.42511,0.67055,0.98772,0.8655,0.83189,0.86414,0.40757,1.6746,0.75382,1.09342,0.00101,0.00101,0.00101
52,1189.82,1.3969,0.65409,0.97065,0.90932,0.80073,0.85029,0.41892,1.68344,0.77413,1.09416,0.0009902,0.0009902,0.0009902
53,1211.93,1.38674,0.64287,0.96676,0.8909,0.82129,0.8603,0.41905,1.6581,0.7259,1.08568,0.0009704,0.0009704,0.0009704
54,1233.89,1.38296,0.64082,0.96669,0.85932,0.86692,0.89948,0.47193,1.59322,0.69319,1.07632,0.0009506,0.0009506,0.0009506
55,1256.32,1.36396,0.64747,0.95964,0.88791,0.8289,0.88873,0.45155,1.61723,0.71983,1.07866,0.0009308,0.0009308,0.0009308
56,1278.49,1.32312,0.61721,0.96635,0.889,0.85269,0.89079,0.4648,1.58842,0.71247,1.06405,0.000911,0.000911,0.000911
57,1299.96,1.34684,0.62992,0.96148,0.91637,0.85551,0.88747,0.46517,1.59604,0.6989,1.06642,0.0008912,0.0008912,0.0008912
58,1321.82,1.36198,0.62508,0.95796,0.88931,0.84791,0.87068,0.42446,1.69316,0.6987,1.10802,0.0008714,0.0008714,0.0008714
59,1343.5,1.31331,0.60668,0.95268,0.87925,0.83062,0.88437,0.47025,1.6385,0.67854,1.0915,0.0008516,0.0008516,0.0008516
